# Hierarchy: NH Interactions: LNC+LNV M1: 1 DM/M: -8.2 y: -5.9 theta: 1.2 delta: 3.1 phi: 5.2
# t asym mu_e mu_mu mu_tau r11 r22 Re(r12) Im(r12) rb11 rb22 Re(rb12) Im(r12) Smooth-Sphaleron-Asym
1.6734e-05 -8.64702e-26 6.00313e-20 4.2188e-19 -4.8198e-19 0.000618082 0.000621962 -4.9901e-06 0.000619975 0.000618082 0.000621962 -4.9901e-06 -0.000619975 0
1.71013e-05 -8.54919e-26 6.49538e-20 4.56474e-19 -5.21496e-19 0.000631712 0.000635678 -5.10015e-06 0.000633648 0.000631712 0.000635678 -5.10015e-06 -0.000633648 0
1.74723e-05 -8.4915e-26 7.02306e-20 4.93559e-19 -5.63857e-19 0.000645481 0.000649533 -5.21131e-06 0.000647459 0.000645481 0.000649533 -5.21131e-06 -0.000647459 0
1.7847e-05 -7.75722e-26 7.58848e-20 5.33296e-19 -6.09242e-19 0.00065939 0.000663529 -5.3236e-06 0.00066141 0.00065939 0.000663529 -5.3236e-06 -0.00066141 0
1.82255e-05 -6.65239e-26 8.19406e-20 5.75856e-19 -6.5785e-19 0.00067344 0.000677668 -5.43704e-06 0.000675503 0.00067344 0.000677668 -5.43704e-06 -0.000675503 0
1.86078e-05 -6.4896e-26 8.84236e-20 6.21417e-19 -7.09892e-19 0.000687633 0.00069195 -5.55163e-06 0.00068974 0.000687633 0.00069195 -5.55163e-06 -0.00068974 0
1.89938e-05 -6.55352e-26 9.53611e-20 6.70171e-19 -7.65585e-19 0.00070197 0.000706377 -5.66738e-06 0.000704121 0.00070197 0.000706377 -5.66738e-06 -0.000704121 0
1.93838e-05 -6.72444e-26 1.02782e-19 7.22324e-19 -8.25159e-19 0.000716453 0.000720951 -5.78431e-06 0.000718648 0.000716453 0.000720951 -5.78431e-06 -0.000718648 0
1.97776e-05 -7.14836e-26 1.10717e-19 7.78088e-19 -8.88861e-19 0.000731083 0.000735673 -5.90242e-06 0.000733323 0.000731083 0.000735673 -5.90242e-06 -0.000733323 0
2.01754e-05 -7.61838e-26 1.19198e-19 8.37693e-19 -9.56952e-19 0.000745862 0.000750545 -6.02174e-06 0.000748148 0.000745862 0.000750545 -6.02174e-06 -0.000748148 0
2.05772e-05 -8.00674e-26 1.28261e-19 9.01381e-19 -1.02971e-18 0.000760791 0.000765567 -6.14227e-06 0.000763122 0.000760791 0.000765567 -6.14227e-06 -0.000763122 0
2.09829e-05 -8.50331e-26 1.37942e-19 9.69413e-19 -1.10742e-18 0.000775872 0.000780743 -6.26403e-06 0.000778249 0.000775872 0.000780743 -6.26402e-06 -0.000778249 0
2.13928e-05 -9.09808e-26 1.48281e-19 1.04207e-18 -1.19042e-18 0.000791106 0.000796072 -6.38702e-06 0.00079353 0.000791106 0.000796072 -6.38702e-06 -0.00079353 0
2.18067e-05 -9.63442e-26 1.59317e-19 1.11963e-18 -1.27902e-18 0.000806495 0.000811558 -6.51126e-06 0.000808966 0.000806495 0.000811558 -6.51126e-06 -0.000808966 0
2.22248e-05 -9.76452e-26 1.7109e-19 1.20236e-18 -1.37353e-18 0.00082204 0.0008272 -6.63676e-06 0.000824558 0.00082204 0.0008272 -6.63676e-06 -0.000824558 0
2.2647e-05 -1.0418e-25 1.83648e-19 1.29062e-18 -1.47435e-18 0.000837743 0.000843002 -6.76354e-06 0.00084031 0.000837743 0.000843002 -6.76354e-06 -0.00084031 0
2.30735e-05 -1.08178e-25 1.97041e-19 1.38473e-18 -1.58186e-18 0.000853606 0.000858964 -6.89161e-06 0.000856221 0.000853606 0.000858964 -6.89161e-06 -0.000856221 0
